,price,log_price
3577,99.0,4.59511985013459
3578,110.0,4.700480365792417
3579,140.0,4.941642422609304
3580,46.0,3.828641396489095
3581,180.0,5.19295685089021
3582,300.0,5.703782474656201
3583,60.0,4.0943445622221
3584,35.0,3.5553480614894135
3585,90.0,4.499809670330265
3586,119.0,4.77912349311153
3587,48.0,3.871201010907891
3588,35.0,3.5553480614894135
3589,235.0,5.459585514144159
3590,60.0,4.0943445622221
3591,60.0,4.0943445622221
3592,90.0,4.499809670330265
3593,125.0,4.8283137373023015
3594,40.0,3.6888794541139363
3595,120.0,4.787491742782046
3596,150.0,5.0106352940962555
3597,70.0,4.248495242049359
3598,135.0,4.90527477843843
3599,200.0,5.298317366548036
3600,95.0,4.553876891600541
3601,99.0,4.59511985013459
3602,128.0,4.852030263919617
3603,80.0,4.382026634673881
3604,120.0,4.787491742782046
3605,250.0,5.521460917862246
3606,132.0,4.882801922586371
3607,160.0,5.075173815233827
3608,125.0,4.8283137373023015
3609,65.0,4.174387269895637
3610,80.0,4.382026634673881
3611,850.0,6.745236349484363
3612,175.0,5.1647859739235145
3613,175.0,5.1647859739235145
3614,40.0,3.6888794541139363
3615,75.0,4.31748811353631
3616,82.0,4.406719247264253
3617,110.0,4.700480365792417
3618,75.0,4.31748811353631
3619,815.0,6.703188113240863
3620,800.0,6.684611727667927
3621,200.0,5.298317366548036
3622,199.0,5.293304824724492
3623,40.0,3.6888794541139363
3624,80.0,4.382026634673881
3625,55.0,4.007333185232471
3626,55.0,4.007333185232471
3627,112.0,4.718498871295094
3628,100.0,4.605170185988092
3629,44.0,3.784189633918261
3630,9999.0,9.21024036697585
3631,77.0,4.343805421853684
3632,121.0,4.795790545596741
3633,65.0,4.174387269895637
3634,85.0,4.442651256490317
3635,90.0,4.499809670330265
3636,55.0,4.007333185232471
3637,98.0,4.584967478670572
3638,679.0,6.520621127558696
3639,78.0,4.356708826689592
3640,90.0,4.499809670330265
3641,120.0,4.787491742782046
3642,154.0,5.0369526024136295
3643,150.0,5.0106352940962555
3644,175.0,5.1647859739235145
3645,250.0,5.521460917862246
3646,100.0,4.605170185988092
3647,100.0,4.605170185988092
3648,80.0,4.382026634673881
3649,225.0,5.41610040220442
3650,200.0,5.298317366548036
3651,95.0,4.553876891600541
3652,125.0,4.8283137373023015
3653,125.0,4.8283137373023015
3654,70.0,4.248495242049359
3655,55.0,4.007333185232471
3656,92.0,4.5217885770490405
3657,196.0,5.278114659230517
3658,70.0,4.248495242049359
3659,110.0,4.700480365792417
3660,239.0,5.476463551931511
3661,31.0,3.4339872044851463
3662,73.0,4.290459441148391
3663,60.0,4.0943445622221
3664,166.0,5.111987788356544
3665,250.0,5.521460917862246
3666,195.0,5.272999558563747
3667,80.0,4.382026634673881
3668,61.0,4.110873864173311
3669,91.0,4.51085950651685
3670,150.0,5.0106352940962555
3671,65.0,4.174387269895637
3672,130.0,4.867534450455582
3673,80.0,4.382026634673881
3674,75.0,4.31748811353631
3675,175.0,5.1647859739235145
3676,185.0,5.220355825078324
3677,90.0,4.499809670330265
3678,40.0,3.6888794541139363
3679,130.0,4.867534450455582
3680,75.0,4.31748811353631
3681,110.0,4.700480365792417
3682,60.0,4.0943445622221
3683,215.0,5.3706380281276624
3684,35.0,3.5553480614894135
3685,59.0,4.07753744390572
3686,180.0,5.19295685089021
3687,175.0,5.1647859739235145
3688,92.0,4.5217885770490405
3689,225.0,5.41610040220442
3690,60.0,4.0943445622221
3691,99.0,4.59511985013459
3692,167.0,5.117993812416755
3693,50.0,3.912023005428146
3694,149.0,5.003946305945459
3695,100.0,4.605170185988092
3696,214.0,5.365976015021851
3697,110.0,4.700480365792417
3698,138.0,4.927253685157205
3699,199.0,5.293304824724492
3700,62.0,4.127134385045092
3701,46.0,3.828641396489095
3702,250.0,5.521460917862246
3703,100.0,4.605170185988092
3704,80.0,4.382026634673881
3705,125.0,4.8283137373023015
3706,105.0,4.653960350157523
3707,146.0,4.983606621708336
3708,275.0,5.616771097666572
3709,214.0,5.365976015021851
3710,66.0,4.189654742026425
3711,104.0,4.6443908991413725
3712,43.0,3.7612001156935624
3713,89.0,4.48863636973214
3714,79.0,4.3694478524670215
3715,250.0,5.521460917862246
3716,125.0,4.8283137373023015
3717,364.0,5.8971538676367405
3718,98.0,4.584967478670572
3719,165.0,5.10594547390058
3720,50.0,3.912023005428146
3721,225.0,5.41610040220442
3722,195.0,5.272999558563747
3723,95.0,4.553876891600541
3724,130.0,4.867534450455582
3725,50.0,3.912023005428146
3726,37.0,3.6109179126442243
3727,95.0,4.553876891600541
3728,79.0,4.3694478524670215
3729,100.0,4.605170185988092
3730,115.0,4.74493212836325
3731,129.0,4.859812404361672
3732,400.0,5.991464547107982
3733,135.0,4.90527477843843
3734,89.0,4.48863636973214
3735,54.0,3.9889840465642745
